name,accuracy,precision,recall,f1,criterion,max_depth,metric,k
DecisionTree_gini_depth3,0.745,0.7654156899111565,0.745,0.7489547400539445,gini,3.0,,
DecisionTree_gini_depth5,0.83,0.8349411312911806,0.83,0.8316598721584104,gini,5.0,,
DecisionTree_gini_depth7,0.8325,0.8343061654059067,0.8325,0.8327291124243434,gini,7.0,,
DecisionTree_gini_depth10,0.82,0.8241079964983442,0.82,0.8207794376734121,gini,10.0,,
DecisionTree_gini_depthNone,0.83,0.8318831447022742,0.83,0.830168476083014,gini,,,
DecisionTree_entropy_depth3,0.7525,0.7616888422035482,0.7525,0.7537231156935907,entropy,3.0,,
DecisionTree_entropy_depth5,0.8725,0.8747437436921017,0.8725,0.8719748659461791,entropy,5.0,,
DecisionTree_entropy_depth7,0.8725,0.872192150063147,0.8725,0.8715262158414089,entropy,7.0,,
DecisionTree_entropy_depth10,0.88,0.8788061688695329,0.88,0.8788781523278368,entropy,10.0,,
DecisionTree_entropy_depthNone,0.87,0.8695854462023794,0.87,0.8691721679636016,entropy,,,
KNN_euclidean_k3,0.4725,0.4910966913764521,0.4725,0.4717560118740138,,,euclidean,3.0
KNN_euclidean_k5,0.5,0.521130101168955,0.5,0.5053550007497375,,,euclidean,5.0
KNN_euclidean_k7,0.5175,0.5266508223881238,0.5175,0.5199143534769032,,,euclidean,7.0
KNN_euclidean_k9,0.5625,0.5753394409208363,0.5625,0.5674117147377297,,,euclidean,9.0
KNN_euclidean_k11,0.545,0.5566430817610063,0.545,0.5484104016264211,,,euclidean,11.0
KNN_euclidean_k15,0.5725,0.5827726616184675,0.5725,0.5757335957512033,,,euclidean,15.0
KNN_manhattan_k3,0.48,0.5017772960796918,0.48,0.47824568039039606,,,manhattan,3.0
KNN_manhattan_k5,0.56,0.5708324906603033,0.56,0.5605347959088368,,,manhattan,5.0
KNN_manhattan_k7,0.575,0.5800240621210442,0.575,0.5733426747183666,,,manhattan,7.0
KNN_manhattan_k9,0.575,0.5823915992026553,0.575,0.5759771886288233,,,manhattan,9.0
KNN_manhattan_k11,0.6025,0.6092646192102437,0.6025,0.6032544993846147,,,manhattan,11.0
KNN_manhattan_k15,0.6475,0.6447763180845887,0.6475,0.6443146176592697,,,manhattan,15.0
